Commune,Total,x,y,ID
Hunzenschwil,3846,8.12293,47.38417,778
Lenzburg,9039,8.1891,47.37184,804
Meisterschwanden,2782,8.22867,47.29489,802
Möriken-Wildegg,4351,8.18446,47.41556,805
Niederlenz,4504,8.1764,47.40079,778
Othmarsingen,2668,8.21852,47.40149,804
Rupperswil,5109,8.12877,47.40131,778
Schafisheim,2893,8.14076,47.37529,777
Seengen,3750,8.20509,47.32852,803
Staufen,2912,8.16606,47.38372,778
Abtwil,961,8.35374,47.17397,850
Aristau,1370,8.36356,47.28692,852
Auw,1954,8.36583,47.21082,851
Beinwil (Freiamt),1071,8.3392,47.22956,851
Besenbüren,603,8.34586,47.31439,853
Bettwil,566,8.2679,47.29064,828
Boswil,2754,8.30881,47.30381,828
Bünzen,1028,8.32253,47.32004,853
Buttwil,1171,8.31064,47.26828,852
Dietwil,1275,8.39355,47.14665,875
Geltwil,201,8.32598,47.24901,851
Kallern,328,8.29011,47.30948,828
Merenschwand,3339,8.37532,47.2587,877
Mühlau,1058,8.38887,47.23471,877
Muri (AG),7480,8.33854,47.27428,852
Oberrüti,1498,8.39441,47.16673,875
Rottenschwil,802,8.36137,47.31375,853
Sins,4208,8.39578,47.19216,876
Waltenschwil,2747,8.30344,47.33493,853
Hellikon,803,7.92423,47.50943,690
Kaiseraugst,5463,7.72605,47.53966,593
Magden,3916,7.81128,47.52868,626
Möhlin,10745,7.84329,47.55915,660
Mumpf,1300,7.92123,47.54563,691
Obermumpf,1049,7.93762,47.52937,691
Rheinfelden,12979,7.78715,47.56013,594
Schupfart,760,7.96577,47.51372,690
Stein (AG),3046,7.95275,47.54517,691
Wallbach,1887,7.89785,47.56806,660
Wegenstetten,1057,7.93159,47.49794,690
Zeiningen,2262,7.87179,47.54143,660
Zuzgen,852,7.89986,47.52508,659
Aarburg,7580,7.89986,47.32067,655
Attelwil,281,8.04469,47.26223,716
Bottenwil,773,8.00464,47.28541,717
Brittnau,3812,7.94689,47.25954,686
Kirchleerau,835,8.07405,47.27724,746
Kölliken,4240,8.02644,47.33882,718
Moosleerau,905,8.06405,47.26904,746
Murgenthal,2856,7.83935,47.27145,621
Oftringen,13113,7.92533,47.31382,687
Reitnau,1238,8.04889,47.25102,716
Rothrist,8557,7.89196,47.30508,655
Safenwil,3660,7.98122,47.3214,717
Staffelbach,1075,8.0387,47.28306,746
Strengelbach,4539,7.92895,47.27917,686
Uerkheim,1343,8.02371,47.30289,717
Vordemwald,1879,7.90114,47.27585,654
Wiliberg,167,8.02139,47.26869,716
Zofingen,11107,7.94586,47.28779,686
Baldingen,269,8.31667,47.55555,833
Böbikon,163,8.33472,47.55555,857
Böttstein,3876,8.22258,47.55544,807
Döttingen,3744,8.25846,47.57091,833
