Commune,Total,x,y,ID
Sachseln,5018,8.23344,46.86718,794
Sarnen,10072,8.24531,46.89611,820
Beckenried,3495,8.47575,46.96653,900
Buochs,5373,8.42279,46.97398,872
Dallenwil,1783,8.38785,46.9242,871
Emmetten,1367,8.51467,46.95658,931
Ennetbürgen,4536,8.41003,46.98423,872
Ennetmoos,2086,8.33779,46.95781,846
Hergiswil (NW),5584,8.30944,46.98429,846
Oberdorf (NW),3058,8.45791,46.96901,900
Stans,8069,8.36609,46.95805,846
Stansstad,4348,8.33553,46.9768,846
Wolfenschiessen,2124,8.39423,46.90322,870
Glarus Nord,17497,9.02551,47.14995,1176
Glarus Süd,9393,9.0701,46.99541,1209
Glarus,12294,9.06804,47.04057,1210
Baar,23282,8.52954,47.19625,936
Hünenberg,8816,8.42497,47.17536,876
Menzingen,4158,8.59215,47.17764,969
Neuheim,2154,8.58268,47.19946,970
Oberägeri,5834,8.6144,47.13614,968
Risch,10179,8.441,47.14054,875
Steinhausen,9453,8.48718,47.19857,904
Unterägeri,8482,8.5853,47.13645,968
Walchwil,3549,8.51693,47.10169,934
Zug,28571,8.51745,47.17242,936
Châbles,763,6.81078,46.82451,150
Cheiry,375,6.83553,46.75038,148
Cheyres,1407,6.78685,46.81439,128
Cugy (FR),1624,6.88888,46.81479,172
Domdidier,3041,7.01337,46.86716,233
Estavayer-le-Lac,6089,6.8465,46.84876,150
Fétigny,957,6.9117,46.79819,172
Gletterens,998,6.93689,46.89489,201
Léchelles,796,7.01621,46.82896,232
Lully (FR),1120,6.84534,46.83401,150
Ménières,413,6.88014,46.78268,171
Morens (FR),154,6.90697,46.84364,173
Murist,615,6.80708,46.79025,149
Nuvilly,401,6.82778,46.78336,149
Prévondavaux,64,6.79561,46.72963,148
Rueyres-les-Prés,431,6.91208,46.85865,173
Russy,214,7.00348,46.84126,233
Sévaz,270,6.87703,46.83985,173
Surpierre,325,6.84985,46.74207,148
Vuissens,244,6.76625,46.73342,126
Les Montets,1338,6.8581,46.80781,172
Delley-Portalban,1052,6.95577,46.91854,202
Auboranges,270,6.80445,46.58463,145
Billens-Hennens,673,6.88669,46.68532,170
Chapelle (Glâne),259,6.83718,46.58873,145
Le Châtelard,370,6.89908,46.44527,165
Châtonnaye,783,6.93799,46.75452,198
Ecublens (FR),330,6.80895,46.60735,146
Massonnens,509,6.97624,46.69661,197
Montet (Glâne),390,6.81175,46.64633,146
Romont (FR),5074,6.91898,46.69652,170
Rue,1466,6.82225,46.61916,146
Siviriez,2205,6.87774,46.65852,169
Ursy,2906,6.8371,46.63353,146
Villaz-Saint-Pierre,1177,6.95638,46.72074,198
Vuisternens-devant-Romont,2230,6.934,46.64613,196
Villorsonnens,1267,7.00017,46.70739,230
Torny,875,6.95801,46.77093,199
La Folliaz,950,6.96717,46.74266,198
Haut-Intyamon,1493,7.03408,46.49869,226
Pont-en-Ogoz,1768,7.07683,46.68829,262
Botterens,543,7.11548,46.62502,261
Broc,2464,7.09891,46.60513,260
Bulle,20822,7.05674,46.6195,228
Châtel-sur-Montsalvens,270,7.13266,46.61652,293
Crésuz,328,7.14257,46.62056,293
Echarlens,811,7.0742,46.64778,261
Grandvillard,791,7.08605,46.54029,259
Gruyères,2118,7.08253,46.58365,260
Jaun,655,7.27637,46.61122,354
Marsens,1785,7.06167,46.65649,229
Morlon,585,7.08382,46.62563,261
Le Pâquier (FR),1122,7.05328,46.59477,228
Riaz,2370,7.06183,46.64224,261
Sorens,1080,7.05693,46.66846,229
Vaulruz,1026,6.98727,46.62118,196
Vuadens,2264,7.02052,46.61731,228
Bas-Intyamon,1269,7.10616,46.56102,260
Val-de-Charmey,2346,7.16814,46.61622,293
Arconciel,863,7.12152,46.74733,263
Autafond,70,7.07684,46.8129,264
Autigny,794,7.01998,46.73661,231
Avry,1868,7.07006,46.78815,264
Belfaux,3181,7.10674,46.82171,265
Chénens,845,7.00403,46.74157,231
Chésopelloz,120,7.078,46.8081,264
Corminboeuf,2309,7.10492,46.81237,264
Corpataux-Magnedens,1307,7.0932,46.74232,263
Corserey,416,6.98873,46.7731,199
Cottens (FR),1476,7.03127,46.75224,231
Ependes (FR),1103,7.14609,46.75368,296
Farvagny,2210,7.06629,46.7277,263
Ferpicloz,279,7.16223,46.74818,296
Fribourg,36954,7.15128,46.80237,297
Givisiez,3020,7.12639,46.81201,297
Granges-Paccot,3350,7.14836,46.8237,297
Grolley,1875,7.07116,46.8336,265
Neyruz (FR),2560,7.06827,46.76868,264
Noréaz,616,7.02784,46.80145,232
Pierrafortscha,138,7.1807,46.7812,296
Ponthaux,681,7.04142,46.81527,232
Le Mouret,3055,7.18749,46.73183,327
Prez-vers-Noréaz,988,7.01456,46.78584,231
Rossens (FR),1328,7.10369,46.72067,263
Le Glèbe,1255,7.02824,46.71134,230
Senèdes,156,7.14185,46.7418,296
Treyvaux,1424,7.13772,46.72745,295
Villars-sur-Glâne,11882,7.11717,46.79054,264
Villarsel-sur-Marly,84,7.17195,46.76178,296
Vuisternens-en-Ogoz,986,7.0561,46.70424,230
Hauterive (FR),2358,7.0927,46.75952,263
La Brillaz,1885,7.0181,46.76695,231
Barberêche,509,7.15982,46.85735,298
Courgevaux,1425,7.11215,46.90648,266
Courlevon,292,7.11057,46.88929,266
Courtepin,3658,7.12309,46.86547,298
Cressier (FR),927,7.14071,46.8979,299
Fräschels,458,7.20806,46.99788,332
Galmiz,636,7.15804,46.94875,300
Gempenach,305,7.19924,46.943,331
Greng,177,7.09397,46.91337,266
Gurmels,4092,7.17192,46.89407,299
Jeuss,414,7.16272,46.90405,299
Kerzers,4813,7.1957,46.97586,332
Kleinbösingen,601,7.2025,46.89297,330
Lurtigen,180,7.17329,46.92844,299
Meyriez,587,7.1066,46.92366,267
Misery-Courtion,1821,7.08494,46.8582,265
Muntelier,950,7.12356,46.93522,267
Murten,6554,7.11715,46.92827,267
Ried bei Kerzers,1090,7.18105,46.96335,300
Salvenach,590,7.15229,46.91412,299
Ulmiz,410,7.19783,46.93187,331
Villarepos,611,7.07322,46.88343,266
Bas-Vully,2105,7.11251,46.96194,267
Haut-Vully,1363,7.07226,46.9573,267
Wallenried,443,7.11577,46.87361,266
Alterswil,2019,7.25877,46.79587,358
Brünisried,654,7.27636,46.75738,357
Düdingen,7690,7.18848,46.84915,329
Giffers,1514,7.20845,46.7623,328
Bösingen,3347,7.2277,46.89229,330
Heitenried,1362,7.29944,46.82762,358
Oberschrot,1166,7.28149,46.74126,357
Plaffeien,1947,7.28666,46.74198,357
Plasselb,1000,7.25119,46.73488,327
Rechthalten,1056,7.24028,46.76766,328
St. Antoni,1999,7.26091,46.82207,358
St. Silvester,957,7.22401,46.74246,327
St. Ursen,1264,7.22011,46.7909,328
Schmitten (FR),3993,7.25031,46.8575,359
Tafers,3249,7.21852,46.81483,329
Tentlingen,1316,7.20001,46.76767,328
Ueberstorf,2333,7.30998,46.86587,359
Wünnewil-Flamatt,5395,7.28561,46.877,359
Zumholz,392,7.29146,46.75462,357
Attalens,3258,6.84835,46.50996,144
Bossonnens,1481,6.84952,46.52471,144
Châtel-Saint-Denis,6379,6.90083,46.52691,166
Granges (Veveyse),828,6.82659,46.52561,144
Remaufens,1037,6.88262,46.52872,167
Semsales,1402,6.93018,46.57375,195
Le Flon,1160,6.87329,46.60447,168
Egerkingen,3396,7.78424,47.31957,622
Härkingen,1523,7.81806,47.30892,622
Kestenholz,1756,7.75291,47.28039,588
Neuendorf,2036,7.7954,47.30083,621
Niederbuchsiten,1113,7.7718,47.29646,589
Oberbuchsiten,2163,7.76836,47.31334,589
Oensingen,6120,7.72305,47.28639,589
Wolfwil,2041,7.78967,47.26819,621
Aedermannsdorf,541,7.61052,47.30374,522
Balsthal,5946,7.69318,47.31613,556
Gänsbrunnen,94,7.46856,47.26123,457
Herbetswil,529,7.59195,47.29601,522
Holderbank (SO),626,7.7497,47.33248,589
Laupersdorf,1711,7.65053,47.31426,522
Matzendorf,1279,7.6282,47.30374,522
Mümliswil-Ramiswil,2390,7.7035,47.34411,556
Welschenrohr,1096,7.52634,47.28029,489
Biezwil,315,7.41546,47.11653,424
Lüterkofen-Ichertswil,756,7.50311,47.16289,455
Lüterswil-Gächliwil,313,7.43908,47.12224,424
Messen,1450,7.44957,47.09128,454
Schnottwil,1050,7.39368,47.11173,424
Unterramsern,203,7.48267,47.11773,454
Lüsslingen-Nennigkofen,1037,7.49516,47.18633,456
Buchegg,2485,7.50976,47.1425,455
Bättwil,1188,7.5083,47.48954,493
Büren (SO),982,7.67058,47.44702,558
Dornach,6434,7.61644,47.48038,525
Gempen,887,7.66028,47.47585,559
Hochwald,1283,7.6418,47.4583,525
Hofstetten-Flüh,3152,7.50826,47.47216,461
Metzerlen-Mariastein,877,7.47105,47.46589,461
Nuglar-St. Pantaleon,1469,7.69182,47.46101,558
Rodersdorf,1331,7.4576,47.48221,461
Seewen,1015,7.6615,47.43738,558
Witterswil,1473,7.52117,47.48658,493
Hauenstein-Ifenthal,312,7.85594,47.37111,656
Kienberg,510,7.96381,47.43832,689
Lostorf,3876,7.94849,47.38445,688
Niedergösgen,3696,7.99122,47.37217,718
Obergösgen,2197,7.95275,47.36406,688
Rohr (SO),94,7.95333,47.41029,689
Stüsslingen,1067,7.97426,47.39427,688
Trimbach,6354,7.8868,47.36561,656
Winznau,1802,7.93011,47.36356,688
Wisen (SO),402,7.88509,47.39277,657
Erlinsbach (SO),3358,8.00797,47.39753,719
Aeschi (SO),1210,7.66138,47.17977,553
Biberist,8050,7.56246,47.18009,487
Bolken,564,7.66305,47.19123,553
Deitingen,2194,7.61988,47.21579,520
Derendingen,6249,7.58844,47.1985,520
Etziken,771,7.64777,47.18755,553
Gerlafingen,4887,7.57505,47.16978,487
Halten,868,7.60348,47.16883,519
Horriwil,859,7.62185,47.1823,520
Hüniken,94,7.63627,47.18473,520
Kriegstetten,1264,7.59799,47.17449,519
Lohn-Ammannsegg,2690,7.52941,47.17139,487
Luterbach,3407,7.58463,47.21426,520
Obergerlafingen,1098,7.58177,47.16124,519
Oekingen,804,7.60237,47.1798,520
Recherswil,1795,7.59456,47.16258,519
Subingen,3034,7.61949,47.19852,520
Zuchwil,8593,7.56649,47.20173,487
Drei Höfe,736,7.63792,47.16198,519
Balm bei Günsberg,194,7.55825,47.25311,488
Bellach,5070,7.49924,47.21356,456
Bettlach,4806,7.41281,47.50745,431
Feldbrunnen-St. Niklaus,960,7.55486,47.22018,488
Flumenthal,945,7.59851,47.23548,521
Grenchen,16399,7.39586,47.1921,425
Günsberg,1137,7.55825,47.25311,488
Hubersdorf,713,7.58945,47.24629,521
Kammersrohr,33,7.5932,47.25296,521
Langendorf,3686,7.51469,47.21974,488
Lommiswil,1471,7.47139,47.22365,456
Oberdorf (SO),1640,7.50637,47.2305,488
Riedholz,2252,7.56829,47.23158,488
Rüttenen,1484,7.5295,47.23053,488
Selzach,3242,7.45521,47.20531,456
Boningen,730,7.85531,47.30857,655
Däniken,2732,7.98737,47.35321,718
Dulliken,4819,7.94623,47.34476,687
Eppenberg-Wöschnau,310,8.0246,47.37998,718
Fulenbach,1712,7.83343,47.27496,621
Gretzenbach,2630,8.00243,47.35823,718
Gunzgen,1641,7.83102,47.31375,622
Hägendorf,4791,7.84192,47.33436,622
Kappel (SO),3052,7.84647,47.32475,622
Olten,17364,7.90329,47.34999,656
Rickenbach (SO),818,7.85469,47.34239,656
Schönenwerd,4828,8.00167,47.3691,718
Starrkirch-Wil,1688,7.92741,47.34778,687
Walterswil (SO),688,7.95586,47.32449,687
Wangen bei Olten,5007,7.86982,47.34365,656
Solothurn,16274,7.53714,47.20791,488
Bärschwil,799,7.47229,47.3822,459
Beinwil (SO),265,7.58707,47.36262,523
Breitenbach,3689,7.54382,47.40564,491
Büsserach,2188,7.54116,47.39464,491
Erschwil,900,7.54137,47.37386,491
Fehren,605,7.57698,47.39652,491
Grindel,476,7.50591,47.38069,459
Himmelried,927,7.59659,47.42111,524
Kleinlützel,1238,7.42294,47.42537,430
Meltingen,648,7.5875,47.38328,491
Nunningen,1864,7.62122,47.3945,524
Zullwil,631,7.6005,47.39263,524
Basel,165124,7.57327,47.55839,494
Bettingen,1076,7.66425,47.57039,561
Riehen,20310,7.64683,47.57884,527
Aesch (BL),9998,7.5973,47.47104,525
Allschwil,20183,7.53599,47.55074,494
Arlesheim,9042,7.58733,47.51668,526
Biel-Benken,3397,7.52581,47.50781,493
Binningen,14889,7.56932,47.54021,494
Birsfelden,10045,7.62322,47.5529,527
Bottmingen,6356,7.57211,47.52343,494
Ettingen,4925,7.54982,47.48268,493
Münchenstein,11685,7.60966,47.51848,526
Muttenz,17342,7.64511,47.52271,526
Oberwil (BL),10981,7.55786,47.51407,493
Pfeffingen,2332,7.58975,47.45984,525
Reinach (BL),18349,7.59172,47.49702,526
Schönenbuch,1367,7.50572,47.53853,462
Therwil,9908,7.55286,47.50117,493
Blauen,692,7.51848,47.45023,492
Brislach,1600,7.5434,47.41763,492
Burg im Leimental,260,7.43808,47.45957,430
Dittingen,718,7.49619,47.44196,461
Duggingen,1491,7.60511,47.4518,525
Grellingen,1833,7.58906,47.44231,525
Laufen,5484,7.49946,47.42193,460
Liesberg,1162,7.42787,47.40398,429
Nenzlingen,418,7.55701,47.44739,492
Roggenburg,274,7.34282,47.43215,400
Röschenz,1837,7.48024,47.42366,460
Wahlen,1394,7.51511,47.40226,460
Zwingen,2248,7.53027,47.43825,492
Arisdorf,1648,7.76515,47.51323,593
Augst,922,7.71468,47.53557,560
Bubendorf,4332,7.73759,47.44586,592
Frenkendorf,6406,7.71648,47.50686,593
Füllinsdorf,4272,7.73129,47.50688,593
Giebenach,1035,7.73971,47.52299,593
Hersberg,325,7.78313,47.49209,625
Lausen,4978,7.7603,47.47139,592
Liestal,13795,7.73446,47.48455,592
Lupsingen,1409,7.69574,47.44433,558
Pratteln,15664,7.69356,47.52071,560
Ramlinsburg,692,7.76956,47.44913,592
Seltisberg,1308,7.71729,47.45947,592
Ziefen,1529,7.7053,47.42924,558
Anwil,575,7.94446,47.45053,689
Böckten,778,7.83263,47.46539,625
Buckten,689,7.84481,47.4099,657
Buus,989,7.86476,47.50542,659
Diepflingen,715,7.8364,47.44443,624
Gelterkinden,5885,7.85174,47.46497,658
Häfelfingen,271,7.866,47.41493,657
Hemmiken,269,7.89376,47.48882,659
Itingen,2041,7.78502,47.46651,592
Känerkinden,513,7.83716,47.41188,624
Kilchberg (BL),154,7.89396,47.42486,657
Läufelfingen,1275,7.85578,47.39457,657
Maisprach,930,7.84705,47.52457,659
Nusshof,259,7.80073,47.49144,625
Oltingen,473,7.93919,47.43297,689
Ormalingen,2083,7.87248,47.46936,658
Rickenbach (BL),579,7.84736,47.48596,625
Rothenfluh,766,7.92022,47.46201,658
Rümlingen,383,7.84839,47.42435,657
Rünenberg,773,7.8829,47.43477,657
Sissach,6534,7.84871,47.44237,624
Tecknau,852,7.88399,47.45132,658
Tenniken,889,7.81149,47.43712,624
Thürnen,1370,7.82785,47.45478,624
Wenslingen,722,7.90747,47.44067,689
Wintersingen,607,7.82409,47.49408,625
Wittinsburg,426,7.84128,47.42521,624
Zeglingen,476,7.90477,47.41631,657
Zunzgen,2464,7.80789,47.44925,624
Arboldswil,567,7.71755,47.41438,591
Bennwil,641,7.78114,47.40074,591
Bretzwil,775,7.65222,47.39783,557
Diegten,1609,7.81085,47.4138,624
Eptingen,528,7.81898,47.38474,623
Hölstein,2391,7.77136,47.42512,591
Lampenberg,486,7.75884,47.42559,591
Langenbruck,982,7.76802,47.34917,590
Lauwil,323,7.6754,47.38773,557
Liedertswil,160,7.72065,47.39051,557
Niederdorf,1763,7.74957,47.40945,591
Oberdorf (BL),2363,7.75122,47.39308,591
Reigoldswil,1562,7.68718,47.39824,557
Titterten,402,7.71617,47.40213,591
Waldenburg,1134,7.75,47.38333,590
Gächlingen,810,8.49878,47.70329,914
Löhningen,1374,8.55236,47.70121,946
Neunkirch,2044,8.49981,47.69012,914
Büttenhardt,346,8.6533,47.75706,1014
Dörflingen,962,8.72241,47.70604,1046
Lohn (SH),751,8.66847,47.75508,1014
Stetten (SH),1320,8.66298,47.74025,1013
Thayngen,5218,8.70724,47.74717,1014
Bargen (SH),289,8.61022,47.79189,981
Buchberg,823,8.56281,47.57282,943
Merishausen,858,8.61053,47.7601,980
Neuhausen am Rheinfall,10082,8.61474,47.68579,979
Rüdlingen,734,8.57191,47.57826,943
Schaffhausen,35151,8.63493,47.69732,979
Beggingen,476,8.53535,47.76737,947
Schleitheim,1662,8.51111,47.75,915
Siblingen,829,8.52011,47.71435,946
Buch (SH),315,8.78151,47.71744,1080
Hemishofen,457,8.82977,47.67659,1079
Ramsen,1344,8.80949,47.70797,1080
Stein am Rhein,3281,8.85964,47.65933,1113
Hallau,2035,8.45827,47.69648,914
Oberhallau,436,8.47853,47.7071,914
Trasadingen,591,8.42995,47.66862,884
Wilchingen,1692,8.46774,47.66745,914
Herisau,15383,9.27916,47.38615,1308
Hundwil,937,9.31847,47.36464,1333
Schönengrund,517,9.2269,47.32586,1279
Schwellbrunn,1486,9.24894,47.35255,1308
Stein (AR),1391,9.34353,47.37127,1334
Urnäsch,2205,9.2795,47.31669,1307
Waldstatt,1750,9.28345,47.35627,1308
Bühler,1675,9.42507,47.37348,1356
Gais,3026,9.45356,47.3615,1380
Speicher,4167,9.44335,47.4109,1381
Teufen (AR),6050,9.38644,47.3908,1356
Trogen,1659,9.46498,47.40782,1381
Grub (AR),985,9.50974,47.44765,1382
Heiden,4086,9.53293,47.44255,1406
Lutzenberg,1243,9.57613,47.46135,1407
Rehetobel,1660,9.483,47.42611,1382
Reute (AR),689,9.57313,47.4201,1406
Wald (AR),834,9.49099,47.4156,1381
Walzenhausen,2025,9.60495,47.44867,1427
Wolfhalden,1769,9.54815,47.4527,1407
Appenzell,5636,9.40996,47.33103,1355
Gonten,1376,9.34705,47.32725,1333
Rüte,3511,9.45589,47.3035,1379
Schlatt-Haslen,1104,9.38324,47.36275,1356
Schwende,2152,9.43674,47.30298,1379
Oberegg,1882,9.55134,47.42531,1406
Häggenschwil,1239,9.34487,47.49462,1336
