stop_id,ID
8501084,59
8501085,51
8501087,59
8501088,59
8501089,52
8501090,68
8501091,58
8501092,58
8501093,58
8501094,59
8501095,51
8501096,44
8501097,59
8501098,52
8501099,60
8501100,47
8501103,54
8501104,54
8501105,72
8501106,72
8501107,72
8501108,71
8501110,95
8501111,83
8501112,83
8501113,82
8501114,82
8501115,70
8501116,80
8501117,79
8501118,79
8501120,90
8501121,90
8501122,103
8501123,102
8501124,102
8501125,122
8501126,121
8501127,143
8501151,47
8501152,47
8501153,46
8501154,39
8501155,38
8501156,38
8501157,38
8501159,38
8501160,90
8501161,91
8501162,91
8501163,91
8501164,91
8501165,91
8501166,91
8501167,91
8501168,80
8501169,80
8501170,80
8501171,92
8501172,92
8501173,93
8501174,93
8501175,93
8501176,106
8501177,106
8501178,93
8501179,190
8501181,90
8501191,83
8501194,83
8501198,291
8501199,223
8501200,143
8501201,165
8501202,165
8501203,165
8501207,90
8501208,79
8501209,79
8501210,79
8501211,79
8501212,79
8501213,79
8501214,79
8501215,79
8501216,79
8501217,79
8501218,79
8501221,162
8501227,34
8501228,68
8501229,189
8501230,165
8501231,32
8501232,22
8501234,192
8501235,22
8501236,21
8501237,21
8501238,21
8501239,32
8501242,41
8501243,121
8501245,79
8501247,143
8501248,143
8501250,143
8501251,143
8501252,143
8501253,143
8501254,143
8501255,143
8501256,61
8501258,466
8501259,346
8501260,143
8501261,143
8501262,143
8501263,143
8501264,165
8501265,165
8501266,165
8501267,83
8501268,69
8501269,69
8501270,634
8501271,284
8501272,251
8501273,251
8501274,251
8501275,343
8501276,314
8501277,58
8501278,58
8501280,165
8501281,165
8501282,165
8501283,165
8501284,166
8501285,165
8501286,165
8501287,166
8501288,166
8501289,34
8501292,251
8501293,435
8501294,316
8501295,314
8501296,35
8501297,122
8501298,81
8501299,70
8501300,165
8501301,192
8501302,192
8501303,164
8501304,163
8501306,165
8501308,165
8501311,21
8501312,165
8501313,192
8501314,164
8501315,24
8501316,23
8501317,102
8501318,103
8501319,90
8501320,43
8501321,57
8501322,22
8501323,600
8501324,600
8501325,600
8501326,600
8501327,378
8501328,317
8501329,351
8501330,223
8501331,407
8501332,407
8501333,35
8501334,285
8501335,634
8501336,663
8501337,663
8501339,504
8501341,504
8501342,407
8501343,258
8501344,257
8501345,290
8501346,256
8501347,258
8501348,258
8501349,290
8501350,193
8501351,193
8501354,319
8501355,320
8501357,192
8501358,322
8501360,165
8501361,192
8501362,192
8501363,192
8501364,192
8501365,192
8501366,192
8501367,192
8501368,192
8501369,192
8501370,165
8501371,192
8501373,290
8501374,165
8501375,165
8501376,165
8501377,193
8501378,225
8501379,226
8501380,165
8501381,165
8501382,165
8501383,165
8501384,165
8501385,165
8501386,193
8501387,225
8501388,291
8501390,165
8501391,225
8501392,258
8501393,258
8501394,258
8501395,290
8501396,322
8501397,322
8501398,352
8501399,351
8501400,190
8501402,221
8501403,188
8501404,220
8501405,219
8501420,221
8501421,189
8501422,189
8501423,162
8501424,163
8501425,163
8501426,141
8501428,120
8501441,438
8501442,759
8501443,759
8501444,634
8501446,255
8501447,222
8501448,160
8501450,137
8501451,160
8501452,189
8501453,160
8501454,160
8501456,161
8501457,189
8501458,222
8501459,190
8501460,161
8501461,222
8501462,189
8501463,189
8501464,161
8501465,160
8501466,160
8501467,223
8501468,190
8501469,223
8501470,190
8501471,223
8501472,223
8501473,223
8501474,223
8501475,256
8501476,256
8501477,288
8501479,288
8501480,223
8501481,223
8501482,223
8501483,223
8501484,190
8501485,190
8501486,223
8501487,221
8501488,221
8501490,254
8501491,222
8501492,254
8501493,254
8501494,222
8501495,222
8501497,255
8501498,255
8501499,255
8501500,251
8501501,284
8501502,284
8501503,316
8501504,316
8501505,346
8501506,377
8501507,407
8501509,470
8501510,346
8501515,537
8501516,503
8501517,503
8501518,503
8501519,537
8501520,570
8501521,536
8501522,536
8501523,536
8501524,536
8501525,536
8501526,536
8501527,536
8501528,248
8501529,282
8501530,282
8501531,249
8501532,282
8501533,282
8501534,282
8501535,185
8501536,185
8501537,185
8501538,185
8501541,439
8501542,439
8501543,439
8501545,439
8501546,408
8501547,438
8501552,185
8501553,185
8501554,190
8501555,288
8501556,186
8501557,222
8501558,222
8501561,219
8501562,219
8501563,219
8501564,186
8501565,185
8501566,185
8501568,185
8501572,251
8501573,218
8501575,250
8501576,283
8501577,282
8501578,282
8501579,314
8501580,283
8501581,380
8501582,862
8501583,699
8501584,316
8501585,600
8501586,438
8501587,439
8501588,470
8501589,439
8501590,470
8501591,470
8501592,470
8501593,470
8501594,439
8501595,439
8501596,439
8501597,439
8501598,439
8501599,439
8501600,503
8501601,503
8501602,536
8501603,570
8501604,602
8501605,636
8501609,698
8501634,864
8501635,838
8501636,667
8501643,504
8501644,504
8501645,602
8501646,759
8501647,663
8501648,537
8501649,537
8501650,503
8501651,503
8501652,503
8501653,503
8501654,503
8501655,504
8501656,504
8501657,504
8501659,602
8501660,838
8501661,838
8501662,837
8501663,837
8501664,812
8501665,812
8501666,812
8501667,812
8501668,786
8501669,786
8501670,786
8501671,759
8501672,759
8501673,758
8501674,729
8501675,729
8501676,728
8501677,698
8501679,564
8501683,634
8501684,634
8501685,600
8501686,599
8501687,598
8501688,565
8501689,564
8501690,564
8501691,564
8501692,564
8501693,596
8501694,596
8501695,663
8501696,663
8501698,699
8501700,290
8501701,290
8501702,257
8501704,255
8501705,288
8501706,288
8501707,222
8501708,254
8501711,287
8501712,638
8501713,571
8501714,469
8501716,635
8501717,636
8501718,634
8501719,634
8501720,634
8501721,600
8501722,634
8501723,600
8501724,600
8501725,223
8501726,189
8501727,254
8501729,759
8501732,631
